,datetime,open,high,low,close,volume,signal
0,2018-01-01 05:30:00,13715.65,13715.65,13155.38,13410.03,1676.204807,0.0
1,2018-01-01 09:30:00,13434.98,13818.55,13322.15,13570.35,1302.214836,0.0
2,2018-01-01 13:30:00,13569.98,13735.24,13001.13,13220.56,1319.755931,0.0
3,2018-01-01 17:30:00,13220.56,13330.0,12750.0,13247.0,1831.933153,0.0
4,2018-01-01 21:30:00,13247.0,13290.65,12940.0,13240.37,1092.337234,0.0
5,2018-01-02 01:30:00,13222.03,13599.7,13222.03,13380.0,1387.469883,0.0
6,2018-01-02 05:30:00,13382.16,13850.0,13231.96,13353.78,2365.532926,0.0
7,2018-01-02 09:30:00,13353.78,13480.84,12890.02,13343.0,2980.316053,0.0
8,2018-01-02 13:30:00,13343.01,13617.28,13302.59,13490.0,2596.182674,0.0
9,2018-01-02 17:30:00,13490.0,13894.86,13450.46,13690.03,3365.879508,0.0
10,2018-01-02 21:30:00,13690.02,15473.49,13503.0,14732.75,5090.273483,0.0
11,2018-01-03 01:30:00,14710.02,15160.31,14544.0,14675.11,3679.907467,0.0
12,2018-01-03 05:30:00,14690.0,15299.99,14660.0,14818.49,3303.83359,0.0
13,2018-01-03 09:30:00,14805.81,15307.56,14795.05,15170.0,3211.702067,0.0
14,2018-01-03 13:30:00,15170.0,15172.99,14150.0,14730.05,4202.802942,0.0
15,2018-01-03 17:30:00,14764.73,15045.51,14400.04,15033.77,2082.734125,0.0
16,2018-01-03 21:30:00,15045.0,15130.0,14671.0,14700.01,1659.697353,0.0
17,2018-01-04 01:30:00,14700.01,14990.0,14683.0,14919.51,1444.897562,0.0
18,2018-01-04 05:30:00,14919.51,15280.0,14649.99,15119.97,3062.535646,0.0
19,2018-01-04 09:30:00,15119.97,15119.97,14685.0,14748.0,2839.900442,0.0
20,2018-01-04 13:30:00,14734.07,14800.0,13918.04,14539.97,4339.552051,0.0
21,2018-01-04 17:30:00,14539.99,14653.4,14181.88,14353.01,3960.831185,0.0
22,2018-01-04 21:30:00,14367.99,14988.0,14238.01,14895.19,3636.616126,0.0
23,2018-01-05 01:30:00,14905.0,15100.08,14601.0,15059.54,3490.214124,0.0
24,2018-01-05 05:30:00,15059.56,15200.0,14642.0,14965.37,3624.97469,0.0
25,2018-01-05 09:30:00,14970.0,15083.63,14600.0,14920.14,3434.498779,0.0
26,2018-01-05 13:30:00,14916.95,16350.0,14880.0,16090.69,4235.324762,0.0
27,2018-01-05 17:30:00,16090.7,16267.04,15750.0,16087.72,3780.801035,0.0
28,2018-01-05 21:30:00,16094.99,17118.13,16087.73,16593.01,4211.114828,0.0
29,2018-01-06 01:30:00,16594.14,17176.24,16353.0,16960.39,3964.777031,0.0
30,2018-01-06 05:30:00,16960.39,17099.99,16288.0,16521.59,4247.71364,0.0
31,2018-01-06 09:30:00,16521.57,16750.0,16300.0,16518.0,2163.980432,0.0
32,2018-01-06 13:30:00,16500.18,16750.01,16340.0,16529.89,2570.004863,0.0
33,2018-01-06 17:30:00,16505.16,16639.0,16011.21,16556.22,3636.953819,0.0
34,2018-01-06 21:30:00,16550.04,16982.0,16501.75,16770.01,3205.687621,0.0
35,2018-01-07 01:30:00,16770.01,17143.13,16612.18,17069.79,2747.117133,0.0
36,2018-01-07 05:30:00,17069.79,17099.96,16605.01,16740.68,3154.304603,0.0
37,2018-01-07 09:30:00,16727.93,16749.98,16400.0,16746.99,2773.563248,0.0
38,2018-01-07 13:30:00,16747.0,16886.75,16560.02,16607.0,1475.70652,0.0
39,2018-01-07 17:30:00,16611.0,16649.05,16300.0,16439.65,1213.051465,0.0
40,2018-01-07 21:30:00,16439.64,16474.87,15610.0,16100.9,2778.455183,0.0
41,2018-01-08 01:30:00,16100.9,16500.0,15872.07,16150.03,1098.044539,0.0
42,2018-01-08 05:30:00,16218.85,16322.3,15514.99,15670.37,3174.144134,0.0
43,2018-01-08 09:30:00,15632.48,15921.68,15476.0,15865.0,3057.432567,0.0
44,2018-01-08 13:30:00,15864.99,15869.97,14551.0,15400.0,4903.911256,0.0
45,2018-01-08 17:30:00,15414.0,15499.0,12812.0,14299.98,8735.648961,0.0
46,2018-01-08 21:30:00,14297.9,15247.33,14238.32,15196.55,4144.274704,0.0
47,2018-01-09 01:30:00,15196.56,15270.99,14392.32,14902.54,2585.19829,0.0
48,2018-01-09 05:30:00,14902.54,15500.0,14701.0,15210.0,2267.730932,0.0
49,2018-01-09 09:30:00,15186.53,15397.0,14601.0,15062.28,2094.696764,0.0
50,2018-01-09 13:30:00,15062.28,15300.0,14170.33,14726.0,2553.318643,0.0
51,2018-01-09 17:30:00,14726.0,14829.98,14011.05,14654.96,3506.537695,0.0
52,2018-01-09 21:30:00,14655.01,14998.62,14585.01,14717.82,1558.961148,0.0
53,2018-01-10 01:30:00,14717.82,14861.56,14125.0,14400.0,2333.759071,0.0
54,2018-01-10 05:30:00,14401.0,14480.0,13750.0,13964.05,2823.255175,0.0
55,2018-01-10 09:30:00,13980.0,14349.99,13855.0,13979.0,2736.517887,0.0
56,2018-01-10 13:30:00,13978.95,14128.3,13131.31,13919.08,4921.021789,0.0
57,2018-01-10 17:30:00,13919.09,14490.0,13500.0,14399.95,3221.049657,0.0
58,2018-01-10 21:30:00,14399.95,14735.43,14172.95,14349.98,2238.172719,0.0
59,2018-01-11 01:30:00,14349.98,14955.66,14240.0,14907.09,1470.984428,0.0
60,2018-01-11 05:30:00,14940.0,14968.68,12613.0,12920.0,4980.407597,0.0
61,2018-01-11 09:30:00,12911.92,13631.98,11400.0,13530.42,12868.425842,0.0
62,2018-01-11 13:30:00,13530.42,13896.7,13041.0,13385.1,3680.231771,0.0
63,2018-01-11 17:30:00,13385.1,14400.0,13282.13,13958.08,4441.493462,0.0
64,2018-01-11 21:30:00,13950.05,14190.0,13205.58,13430.16,2789.52886,0.0
